"Fuel and Month Wise Data for Karnataka (2016-2018)"\n\nFuel,2016-Jan,2016-Feb,2016-Mar,2016-Apr,2016-May,2016-Jun,2016-Jul,2016-Aug,2016-Sep,2016-Oct,2016-Nov,2016-Dec,2017-Jan,2017-Feb,2017-Mar,2017-Apr,2017-May,2017-Jun,2017-Jul,2017-Aug,2017-Sep,2017-Oct,2017-Nov,2017-Dec,2018-Jan,2018-Feb,2018-Mar,2018-Apr,2018-May,2018-Jun,2018-Jul,2018-Aug,2018-Sep,2018-Oct,2018-Nov,2018-Dec,Total
FLEX-FUEL(ETHANOL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FUEL CELL HYDROGEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HCNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HYDROGEN(ICE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LPG ONLY,32,18,11,6,8,8,8,3,11,3,9,2,7,7,8,1,4,3,3,3,5,2,5,5,2,5,13,7,4,11,6,2,1,1,1,1,226
METHANOL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NOT APPLICABLE,1156,1220,1962,1022,1066,1094,1042,1028,963,932,967,899,945,983,1246,867,928,950,930,781,743,605,832,780,915,1004,877,785,740,773,863,709,692,650,710,845,33504
PETROL,131038,117949,119770,106419,124128,124407,99351,120745,107165,121067,116871,85275,107588,110174,133305,112564,116791,118607,98341,108927,109968,115896,126183,86347,119750,113190,112781,120789,120170,121699,115189,112888,123945,118175,128252,105381,4131085
PETROL(E20),0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,1,1,0,1,0,7
PETROL(E20)/CNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PETROL(E20)/HYBRID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
PETROL(E20)/HYBRID/CNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PETROL(E20)/LPG,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,5
PETROL/CNG,110,91,101,99,104,125,100,117,96,117,75,48,120,85,103,96,92,113,87,99,136,120,128,84,142,128,125,140,140,182,162,140,136,150,181,133,4205
PETROL/HYBRID,1,0,0,0,0,0,0,0,2,3,0,1,0,0,2,1,1,0,1,0,1,0,0,0,0,4,2,2,1,0,0,3,28,40,55,42,190
PETROL/HYBRID/CNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PETROL/LPG,2137,2329,2298,1780,1945,2197,1955,2327,2076,1998,1714,1041,1251,1653,1973,1598,1663,1766,1681,2153,2101,2548,2590,1566,1863,2505,2383,2497,2544,3295,3711,2885,4223,3765,3650,2305,81966
PETROL/METHANOL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PLUG-IN HYBRID EV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PURE EV,0,0,0,2,0,0,0,2,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,0,0,1,0,0,0,12
SOLAR,6,3,9,5,7,6,7,5,3,4,8,1,3,3,4,4,3,6,3,6,7,5,5,4,3,6,2,6,2,3,4,6,5,2,4,6,166
STRONG HYBRID EV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total,160560,143393,148874,127582,149504,150295,120898,146510,129743,145140,138709,101892,130875,132555,162089,134416,137945,140912,117458,129878,130735,135869,148183,102615,145603,136683,137824,145775,142709,146290,141338,135605,149266,142000,152688,124657,4967068
