"Fuel and Month Wise Data for All State (2016-2018)"\n\nFuel,2016-Jan,2016-Feb,2016-Mar,2016-Apr,2016-May,2016-Jun,2016-Jul,2016-Aug,2016-Sep,2016-Oct,2016-Nov,2016-Dec,2017-Jan,2017-Feb,2017-Mar,2017-Apr,2017-May,2017-Jun,2017-Jul,2017-Aug,2017-Sep,2017-Oct,2017-Nov,2017-Dec,2018-Jan,2018-Feb,2018-Mar,2018-Apr,2018-May,2018-Jun,2018-Jul,2018-Aug,2018-Sep,2018-Oct,2018-Nov,2018-Dec,Total
METHANOL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NOT APPLICABLE,13809,11706,14008,10325,12402,12483,12700,10583,11361,11217,11262,12970,10139,10616,13547,9452,9714,10040,10216,8401,9673,9761,11897,12803,11671,11414,12317,12626,11612,10637,10367,9071,9098,11190,11682,13258,406028
PETROL,1492364,1515510,1519455,1521473,1625024,1591935,1485257,1449599,1425759,1745679,1917676,1354297,1423577,1450217,1950820,1728696,1818735,1723961,1595442,1520305,1554988,2025037,2188202,1546734,1810378,1637015,1894854,1858362,2046795,1850187,1856746,1706717,1683212,1739920,2150175,1921751,61326854
PETROL(E20),2,0,0,0,3,2,1,2,1,0,2,2,0,2,2,0,0,1,0,1,2,0,0,2,1,1,0,0,2,0,0,2,1,0,3,0,35
PETROL(E20)/CNG,0,4,3,0,1,1,1,1,0,0,2,2,2,2,0,1,0,3,0,2,2,2,0,1,0,2,4,1,1,0,2,3,2,1,3,2,51
PETROL(E20)/HYBRID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
PETROL(E20)/HYBRID/CNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,4
PETROL(E20)/LPG,0,0,3,0,1,0,1,0,0,0,1,1,1,2,0,0,2,1,2,1,4,0,0,2,1,0,0,2,1,3,1,1,2,0,0,2,35
PETROL/CNG,28359,28286,29198,32383,31249,30507,28536,28076,28029,34239,25000,21556,30314,26655,29644,22990,24184,25029,24147,26253,31872,37897,41592,35608,45867,41369,41936,41447,40886,37834,38399,37314,35414,38555,39944,37063,1177631
PETROL/HYBRID,28,27,27,36,70,81,49,37,45,51,32,54,43,62,101,108,98,146,44,39,45,40,26,24,47,48,75,86,66,90,56,250,1683,2436,2789,4267,13206
PETROL/HYBRID/CNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,7,10,15,33,68
PETROL/LPG,8005,7875,8276,7156,7212,7961,7357,8590,8738,8978,8451,5572,7209,7788,9183,6728,7076,8147,7668,8292,8492,9684,10584,7764,9707,10684,11295,10911,11458,11495,12679,11958,12126,11950,11086,9661,327796
PETROL/METHANOL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PLUG-IN HYBRID EV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PURE EV,0,0,0,2,0,0,0,2,1,0,2,1,0,1,0,17,24,34,40,59,39,1,0,0,0,0,0,1,1,1,0,0,1,0,2,3,232
SOLAR,16,14,28,20,17,14,21,15,14,26,35,10,16,15,22,13,8,10,5,12,15,6,8,7,14,6,2,6,3,3,4,6,5,2,4,8,430
STRONG HYBRID EV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total,1807150,1824544,1842914,1806302,1933000,1902835,1769486,1732155,1706014,2072278,2223763,1616982,1712756,1735861,2354205,2018704,2099365,2025286,1902288,1812983,1864584,2350964,2562195,1868600,2192990,1990248,2290394,2226113,2410972,2196230,2229168,2050028,2015864,2107276,2515722,2284272,73054491
