"Fuel and Month Wise Data for Uttar Pradesh (2022-2024)"\n\nFuel,2022-Jan,2022-Feb,2022-Mar,2022-Apr,2022-May,2022-Jun,2022-Jul,2022-Aug,2022-Sep,2022-Oct,2022-Nov,2022-Dec,2023-Jan,2023-Feb,2023-Mar,2023-Apr,2023-May,2023-Jun,2023-Jul,2023-Aug,2023-Sep,2023-Oct,2023-Nov,2023-Dec,2024-Jan,2024-Feb,2024-Mar,2024-Apr,2024-May,2024-Jun,2024-Jul,2024-Aug,2024-Sep,2024-Oct,2024-Nov,2024-Dec,Total
FLEX-FUEL(ETHANOL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FUEL CELL HYDROGEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HCNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HYDROGEN(ICE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LPG ONLY,262,190,194,195,100,217,162,216,181,299,320,213,255,236,195,184,258,249,361,316,219,227,319,245,195,149,119,154,143,172,143,169,93,113,102,82,7247
METHANOL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NOT APPLICABLE,16,14,26,13,9,11,13,13,8,22,13,14,10,10,32,15,11,11,10,9,13,12,17,18,9,13,7,9,5,5,4,11,4,18,7,15,447
PETROL,187860,178826,195382,241331,289622,212590,166722,143564,107738,278091,294222,147543,193088,207690,221662,210237,313773,234372,173004,160359,155805,180353,410851,223617,202254,221741,221873,304956,261433,204593,205144,169611,125006,270812,494895,166030,7976650
PETROL(E20),0,0,0,0,0,0,0,0,0,0,0,0,0,78,544,603,963,903,1090,1289,1341,1616,3270,1848,1900,2095,1832,2569,2306,1804,1768,1635,1548,2544,4025,1637,39208
PETROL(E20)/CNG,0,0,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0,1,1,0,0,0,10
PETROL(E20)/HYBRID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PETROL(E20)/HYBRID/CNG,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,7
PETROL(E20)/LPG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PETROL/CNG,5425,5850,6248,6644,6304,6083,5798,5131,4364,8078,5712,4983,7775,4669,5415,5497,6529,7023,7688,7996,8022,9097,10550,7091,11724,9120,8990,9866,9835,8980,9896,8679,6930,15755,10774,7627,276148
PETROL/HYBRID,995,834,612,668,1441,921,1178,1667,1658,3165,2511,2272,3206,3082,3405,2625,2463,2171,1971,1985,2032,1977,2353,1849,2790,2701,2318,2336,1896,1640,1640,1382,1054,2549,1877,1393,70617
PETROL/HYBRID/CNG,4,3,1,4,14,7,9,11,4,11,12,11,12,20,12,13,11,4,7,7,9,8,6,6,16,10,9,11,8,6,4,4,9,11,7,3,304
PETROL/LPG,78,40,73,69,73,65,58,55,43,78,69,54,84,76,85,66,67,49,42,29,23,26,35,27,42,53,42,61,46,33,53,42,28,73,43,19,1899
PETROL/METHANOL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PLUG-IN HYBRID EV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,4,3,1,13
PURE EV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,577,3133,4924,6822,7021,7470,13636,13590,9356,66587
SOLAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STRONG HYBRID EV,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,160,253,275,427,1475,1450,873,1874,1045,1261,9098
Total,233942,218462,242252,287963,334320,257815,214776,190840,152423,333442,351152,195920,254295,260690,285489,267323,376359,298870,235571,225061,219804,243414,483048,294155,282375,293373,297050,371814,334311,273188,282824,243178,193166,367233,582567,236760,10215225
