"Fuel and Month Wise Data for Rajasthan (2022-2024)"\n\nFuel,2022-Jan,2022-Feb,2022-Mar,2022-Apr,2022-May,2022-Jun,2022-Jul,2022-Aug,2022-Sep,2022-Oct,2022-Nov,2022-Dec,2023-Jan,2023-Feb,2023-Mar,2023-Apr,2023-May,2023-Jun,2023-Jul,2023-Aug,2023-Sep,2023-Oct,2023-Nov,2023-Dec,2024-Jan,2024-Feb,2024-Mar,2024-Apr,2024-May,2024-Jun,2024-Jul,2024-Aug,2024-Sep,2024-Oct,2024-Nov,2024-Dec,Total
HYDROGEN(ICE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,19,14,12,23,14,8,7,0,0,0,105
LPG ONLY,77,70,106,89,86,98,108,93,174,294,303,162,191,394,219,190,227,251,200,241,272,288,366,249,326,301,270,145,301,210,382,319,323,410,305,189,8229
METHANOL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NOT APPLICABLE,68,41,39,18,234,431,304,208,174,132,608,857,513,314,321,292,672,1187,673,719,534,383,404,604,861,843,376,177,249,159,127,96,246,100,243,369,13576
PETROL,57584,64110,66375,76786,81369,63492,67011,63656,56819,138533,160649,60096,70093,68259,91314,72449,82145,74612,79805,79468,86766,111326,197331,101627,85978,85835,88310,87792,90138,79989,88800,93757,62960,137941,242985,56670,3272830
PETROL(E20),0,0,0,0,0,0,0,1,0,0,0,0,1,11,120,158,188,198,399,535,681,710,1261,955,803,686,655,827,647,532,595,636,469,983,1727,488,14266
PETROL(E20)/CNG,0,0,1,2,0,0,0,1,1,1,1,1,3,1,0,0,2,1,0,1,0,0,2,0,0,0,1,1,1,0,0,1,1,1,3,1,28
PETROL(E20)/HYBRID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PETROL(E20)/HYBRID/CNG,0,0,1,1,2,3,3,1,0,3,0,0,2,1,1,1,4,1,1,0,0,0,2,0,0,1,1,2,1,0,0,0,0,3,0,0,35
PETROL(E20)/LPG,0,0,1,1,0,1,3,1,1,0,1,0,0,0,2,0,1,0,0,1,0,0,1,1,1,0,1,1,1,2,3,1,0,0,1,0,26
PETROL/CNG,1419,1747,1680,1879,1915,1592,1453,1294,1179,2020,1335,1086,1668,1283,1607,1354,1876,1964,1975,2105,2608,2802,3611,1781,3156,2776,2637,2905,2957,2738,3493,2862,2698,7498,3914,2511,83378
PETROL/HYBRID,300,300,253,235,699,386,586,803,790,1615,1176,964,1377,1426,1675,1159,1180,1163,894,810,821,825,1058,540,956,1074,884,1003,759,595,828,588,546,1604,790,570,31232
PETROL/HYBRID/CNG,4,6,4,4,12,11,7,10,15,18,12,9,13,12,15,13,9,6,10,18,5,10,7,3,15,9,8,13,6,4,6,5,6,10,8,6,329
PETROL/LPG,312,297,297,341,399,338,332,315,278,423,262,184,309,310,311,250,203,240,262,230,215,226,229,153,341,245,245,287,257,328,412,308,218,576,367,181,10481
PETROL/METHANOL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PLUG-IN HYBRID EV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PURE EV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1363,529,1175,2212,3584,3013,3636,9220,7043,3756,35531
SOLAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STRONG HYBRID EV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,96,119,168,233,221,205,377,184,194,1849
Total,78775,86109,92768,101618,110244,90088,94395,89298,82647,175373,198299,89451,101919,97494,128869,100829,118821,108105,113568,113162,120184,149121,238561,134864,125029,121277,130323,117076,125383,113142,128400,125092,95188,194503,288447,89872,4468294
