"Fuel and Month Wise Data for Delhi (2022-2024)"\n\nFuel,2022-Jan,2022-Feb,2022-Mar,2022-Apr,2022-May,2022-Jun,2022-Jul,2022-Aug,2022-Sep,2022-Oct,2022-Nov,2022-Dec,2023-Jan,2023-Feb,2023-Mar,2023-Apr,2023-May,2023-Jun,2023-Jul,2023-Aug,2023-Sep,2023-Oct,2023-Nov,2023-Dec,2024-Jan,2024-Feb,2024-Mar,2024-Apr,2024-May,2024-Jun,2024-Jul,2024-Aug,2024-Sep,2024-Oct,2024-Nov,2024-Dec,Total
PETROL(E20),0,0,0,0,0,0,0,0,0,0,0,0,0,24,254,296,430,474,564,654,695,830,1364,751,1080,840,838,1048,890,696,886,947,843,1268,1527,576,17775
PETROL(E20)/CNG,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,0,0,1,0,1,8
PETROL(E20)/HYBRID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PETROL(E20)/HYBRID/CNG,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,2,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,8
PETROL(E20)/LPG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PETROL/CNG,3015,3036,2956,3488,3145,3068,3184,3050,2706,3763,2896,3078,3761,2171,2606,2602,3283,3441,3577,3729,3711,4104,4652,3776,5643,3823,3467,3930,3718,3737,4023,3331,2589,6256,3527,3449,126291
PETROL/HYBRID,566,586,491,580,873,716,996,1412,1266,1988,1814,1587,2051,2455,3065,2148,1860,1634,1741,1854,1865,1791,1807,1527,2596,2248,1774,1730,1292,1169,1297,1072,865,1852,1006,1102,54676
PETROL/HYBRID/CNG,12,9,5,5,9,6,20,25,24,22,15,17,23,24,22,18,11,8,14,11,6,12,5,10,26,12,16,7,10,3,15,11,8,12,8,9,470
PETROL/LPG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PETROL/METHANOL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PLUG-IN HYBRID EV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
PURE EV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,69,745,1003,2764,1230,1034,1929,1901,1770,12457
SOLAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STRONG HYBRID EV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,257,353,349,539,678,582,461,744,532,483,4979
Total,42387,42671,47831,51700,47370,46452,51721,51959,44723,76211,62534,42267,59479,48784,54314,48006,53028,48338,51019,54117,52474,58419,80847,48929,67204,52897,54758,57755,54048,49177,58603,53914,45763,87988,83388,45575,1976650
