"Fuel and Month Wise Data for Gujarat (2022-2024)"\n\nFuel,2022-Jan,2022-Feb,2022-Mar,2022-Apr,2022-May,2022-Jun,2022-Jul,2022-Aug,2022-Sep,2022-Oct,2022-Nov,2022-Dec,2023-Jan,2023-Feb,2023-Mar,2023-Apr,2023-May,2023-Jun,2023-Jul,2023-Aug,2023-Sep,2023-Oct,2023-Nov,2023-Dec,2024-Jan,2024-Feb,2024-Mar,2024-Apr,2024-May,2024-Jun,2024-Jul,2024-Aug,2024-Sep,2024-Oct,2024-Nov,2024-Dec,Total
FLEX-FUEL(BIO-DIESEL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FLEX-FUEL(ETHANOL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FUEL CELL HYDROGEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4
HCNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HYDROGEN(ICE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LNG,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,24,0,4,0,0,0,0,0,0,0,0,0,19,0,3,56
LPG ONLY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
METHANOL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NOT APPLICABLE,357,373,450,443,329,333,300,217,321,312,370,332,398,478,508,316,78,92,280,236,333,440,336,529,441,428,432,346,357,248,222,148,139,238,133,139,11432
PETROL,68293,78268,87557,95475,75759,91221,90189,81160,84373,124099,174385,111801,76639,91749,95377,93548,87252,85823,102928,89630,135160,154844,156483,90530,97763,91106,93196,101667,94899,86194,103348,95353,84995,214698,147370,91429,3724561
PETROL(E20),0,0,0,0,0,0,0,0,0,0,0,0,0,11,242,601,810,949,1205,1328,2069,2614,2966,1560,1802,1610,1799,1818,1516,1404,1621,1743,1446,3769,2515,1444,36842
PETROL(E20)/CNG,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,5
PETROL(E20)/HYBRID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PETROL(E20)/HYBRID/CNG,0,1,1,0,1,0,0,0,2,3,1,1,2,1,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,19
PETROL(E20)/LPG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PETROL/CNG,5352,6848,7500,7023,5783,6550,6355,6178,6255,8217,9104,6836,7218,7181,6999,7529,7353,7956,9141,9180,12925,15549,11746,9176,12285,8636,9175,9756,10193,9014,11527,11071,9675,21404,9664,11847,328201
PETROL/HYBRID,558,567,512,456,1156,904,738,1027,1308,1800,2285,2025,1703,2357,2441,2198,1648,1364,1436,1436,1984,2138,1636,1256,1775,1581,1384,1400,1117,970,1143,1036,1118,2166,936,1225,50784
PETROL/HYBRID/CNG,4,8,5,2,12,14,11,16,27,23,22,25,19,25,32,27,8,10,11,7,7,13,1,3,11,7,7,6,5,3,7,11,5,5,3,5,407
PETROL/LPG,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
PETROL/METHANOL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PLUG-IN HYBRID EV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2
PURE EV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,35,1112,2359,4147,2772,3157,6001,3248,2909,25754
SOLAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STRONG HYBRID EV,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,218,244,266,553,555,637,898,538,575,4585
Total,91178,103579,118900,128007,102055,121141,121247,110684,122279,173774,225311,151224,113934,131645,135797,133169,126676,123743,164336,142116,189182,221248,207714,132211,156642,138620,139283,142065,136670,125206,153151,139698,126643,294634,196540,150228,5290530
