"Fuel and Month Wise Data for Uttarakhand (2022-2024)"\n\nFuel,2022-Jan,2022-Feb,2022-Mar,2022-Apr,2022-May,2022-Jun,2022-Jul,2022-Aug,2022-Sep,2022-Oct,2022-Nov,2022-Dec,2023-Jan,2023-Feb,2023-Mar,2023-Apr,2023-May,2023-Jun,2023-Jul,2023-Aug,2023-Sep,2023-Oct,2023-Nov,2023-Dec,2024-Jan,2024-Feb,2024-Mar,2024-Apr,2024-May,2024-Jun,2024-Jul,2024-Aug,2024-Sep,2024-Oct,2024-Nov,2024-Dec,Total
FLEX-FUEL(BIO-DIESEL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FLEX-FUEL(ETHANOL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FUEL CELL HYDROGEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HCNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HYDROGEN(ICE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LPG ONLY,4,5,3,1,3,9,0,13,3,14,8,11,19,13,13,0,10,0,1,0,0,0,0,0,0,1,0,0,0,1,2,1,0,0,0,0,135
METHANOL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NOT APPLICABLE,27,14,11,2,2,7,2,4,10,5,13,9,6,4,2,2,10,4,0,4,4,32,18,38,13,11,9,4,10,2,5,2,14,13,14,33,360
PETROL,13375,11744,14137,15293,15410,15507,14848,14642,10982,22286,27846,12772,16103,13394,15677,15331,17112,15914,15483,15251,15169,16642,27598,22149,14833,16931,14875,16809,20099,16290,17737,15936,14251,23281,36989,16030,618726
PETROL(E20),0,0,0,0,0,0,0,0,1,0,0,0,0,0,33,68,85,110,174,255,201,230,357,426,266,249,328,313,361,307,342,289,308,348,601,370,6022
PETROL(E20)/CNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PETROL(E20)/HYBRID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PETROL(E20)/HYBRID/CNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2
PETROL(E20)/LPG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PETROL/CNG,194,237,289,255,221,233,178,185,173,249,262,192,313,168,224,258,303,249,268,300,259,278,246,325,385,303,316,384,473,306,354,284,292,391,376,279,10002
PETROL/HYBRID,93,68,70,65,152,128,164,232,222,400,390,321,405,401,466,448,385,376,317,281,273,289,327,372,369,515,382,415,507,305,344,316,268,464,503,265,11298
PETROL/HYBRID/CNG,0,0,0,0,1,0,0,0,1,0,1,1,1,0,2,0,2,0,1,1,1,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,17
PETROL/LPG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PETROL/METHANOL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PLUG-IN HYBRID EV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PURE EV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,28,197,281,383,398,690,766,1032,683,4459
SOLAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STRONG HYBRID EV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,35,38,55,43,40,62,63,44,392
Total,16162,14560,17407,18782,18699,19140,18393,18106,14234,26485,32546,16503,20007,17067,20071,19793,21992,20250,19516,19411,18994,20561,32184,27075,19189,21711,19373,21262,25752,20688,22721,19996,18840,28781,43278,20197,769726
