"Fuel and Month Wise Data for Andhra Pradesh (2022-2024)"\n\nFuel,2022-Jan,2022-Feb,2022-Mar,2022-Apr,2022-May,2022-Jun,2022-Jul,2022-Aug,2022-Sep,2022-Oct,2022-Nov,2022-Dec,2023-Jan,2023-Feb,2023-Mar,2023-Apr,2023-May,2023-Jun,2023-Jul,2023-Aug,2023-Sep,2023-Oct,2023-Nov,2023-Dec,2024-Jan,2024-Feb,2024-Mar,2024-Apr,2024-May,2024-Jun,2024-Jul,2024-Aug,2024-Sep,2024-Oct,2024-Nov,2024-Dec,Total
FLEX-FUEL(BIO-DIESEL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FLEX-FUEL(ETHANOL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FUEL CELL HYDROGEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HCNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HYDROGEN(ICE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LPG ONLY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1,1,5
METHANOL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NOT APPLICABLE,923,1545,1848,532,1689,1636,1156,911,1209,1136,1166,1005,934,941,1150,1156,984,844,776,926,682,795,932,751,741,939,765,780,571,525,870,746,759,1105,1609,813,35850
PETROL,65334,55155,53952,60236,52064,40864,45081,57247,55362,76609,71070,48796,53406,52907,54922,48264,54062,47830,52256,57921,54477,67339,79796,61134,55332,55910,64316,57314,55936,51422,54765,47488,44511,84824,80357,40397,2058656
PETROL(E20),0,0,0,0,0,0,0,0,0,0,0,0,0,4,335,666,1144,1157,1501,1726,1712,2212,3080,2142,1942,1895,2389,2090,2140,1972,2114,1778,1723,3054,2858,1456,41090
PETROL(E20)/CNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2
PETROL(E20)/HYBRID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PETROL(E20)/HYBRID/CNG,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,2,0,6
PETROL(E20)/LPG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PETROL/CNG,336,293,366,359,268,295,322,344,310,329,332,381,524,250,332,280,362,428,494,477,461,529,508,425,517,392,499,440,423,406,565,519,533,723,713,452,15187
PETROL/HYBRID,620,427,377,357,563,626,484,630,777,787,659,762,1378,982,1174,1021,978,773,824,771,798,804,780,664,845,750,858,752,626,531,626,526,512,655,700,409,25806
PETROL/HYBRID/CNG,2,2,1,0,3,3,1,1,0,4,1,0,4,2,2,2,1,2,0,2,4,2,3,1,5,1,6,3,2,4,7,3,2,2,7,1,86
PETROL/LPG,3,3,0,2,3,3,4,2,2,2,2,0,1,2,0,0,2,0,1,4,1,1,0,0,0,2,2,2,1,0,1,0,0,1,0,1,48
PETROL/METHANOL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PLUG-IN HYBRID EV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
PURE EV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,356,1014,1713,1319,1487,2653,3675,2387,14607
SOLAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STRONG HYBRID EV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,27,70,69,73,101,122,131,123,155,126,998
Total,76794,68198,68798,72546,65478,55047,57824,71261,71354,90832,85428,64900,70424,69123,73882,64721,73179,63344,68680,75632,70028,86758,98587,77070,70562,71468,86854,72915,74164,68860,75224,62660,59649,107385,105748,56264,2651641
