"Fuel and Month Wise Data for All State (2019-2021)"\n\nFuel,2019-Jan,2019-Feb,2019-Mar,2019-Apr,2019-May,2019-Jun,2019-Jul,2019-Aug,2019-Sep,2019-Oct,2019-Nov,2019-Dec,2020-Jan,2020-Feb,2020-Mar,2020-Apr,2020-May,2020-Jun,2020-Jul,2020-Aug,2020-Sep,2020-Oct,2020-Nov,2020-Dec,2021-Jan,2021-Feb,2021-Mar,2021-Apr,2021-May,2021-Jun,2021-Jul,2021-Aug,2021-Sep,2021-Oct,2021-Nov,2021-Dec,Total
LNG,0,0,0,0,0,0,1,0,2,0,4,1,3,12,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,28
LPG ONLY,353,576,580,647,241,217,235,221,213,54,265,284,177,340,1250,76,196,797,926,908,1407,1371,1457,1400,1243,1173,995,1350,324,483,1334,1414,1505,1279,1676,1412,28379
METHANOL,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,6
NOT APPLICABLE,10764,12081,11853,8081,8169,6937,8008,6997,6800,8246,9379,9714,9807,10550,12285,495,2300,8114,9031,8598,12130,11058,10627,11257,10089,11302,13237,7180,1881,5282,8023,8529,9365,9041,7639,9312,314161
PETROL,1826819,1636290,1803307,1727297,1832912,1708344,1795078,1582926,1450769,1871773,2270896,1658141,1706783,1695734,2437392,431022,227767,1055247,1193397,1254716,1411103,1483346,1949572,1922683,1660016,1501879,1626219,1169747,533642,1259497,1534544,1333386,1253053,1344608,1833606,1526606,54510117
PETROL(E20),3,1,2,1,2,0,1,1,0,1,1,0,0,4,1,0,1,1,2,1,0,1,0,3,0,1,0,0,0,0,0,0,0,0,2,2,32
PETROL(E20)/CNG,3,4,3,2,4,4,2,0,2,3,6,2,3,2,0,0,1,0,0,3,9,5,2,3,9,1,5,6,0,4,1,5,4,5,7,6,116
PETROL(E20)/HYBRID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PETROL(E20)/HYBRID/CNG,0,3,1,2,0,0,3,0,0,2,2,0,0,0,4,0,0,0,3,5,0,5,5,5,4,4,3,1,0,2,2,4,3,2,6,1,72
PETROL(E20)/LPG,0,1,1,0,1,3,3,1,0,1,0,1,1,2,0,1,0,0,0,1,0,0,1,1,2,1,0,0,0,0,2,0,0,2,0,0,26
PETROL/CNG,41263,36112,34875,36413,37063,31426,36010,33550,29332,43771,42856,33334,44610,35092,27707,3505,1682,10115,14807,18642,18918,25984,28805,27605,34264,29210,32118,19190,10662,18423,31996,30227,25029,22351,23479,25348,995774
PETROL/HYBRID,6690,5522,6172,6542,6706,6119,5817,5725,5839,8709,7235,5473,6001,5211,7750,492,1693,6530,6594,8400,9707,11052,12866,12552,13550,11225,12886,8594,3267,7751,13250,12651,10999,13176,12423,10362,295531
PETROL/HYBRID/CNG,38,28,34,32,34,34,25,15,24,48,29,13,22,28,25,2,3,30,52,56,55,61,60,63,69,63,70,35,9,46,77,59,55,78,79,48,1499
PETROL/LPG,10435,10622,11360,9733,10181,8840,11044,9846,9328,9819,11154,8562,10847,10650,11115,809,254,791,1265,1199,2430,1851,1915,2115,3056,3416,4154,1552,325,1058,1747,1906,1885,1631,1856,1633,190384
PETROL/METHANOL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PLUG-IN HYBRID EV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PURE EV,2,7,5,2,2,6,5,8,3,1,0,8,4,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60
SOLAR,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2
STRONG HYBRID EV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total,2222676,1998536,2191240,2061787,2165970,2014388,2140412,1895293,1732052,2210163,2643276,1978527,2091192,2059358,2860577,486801,255295,1190879,1393274,1459696,1656419,1730140,2214662,2210509,1951032,1794908,1965210,1380369,615879,1465735,1853306,1637394,1539169,1617701,2117010,1841259,64642094
