"Fuel and Month Wise Data for Karnataka (2022-2024)"\n\nFuel,2022-Jan,2022-Feb,2022-Mar,2022-Apr,2022-May,2022-Jun,2022-Jul,2022-Aug,2022-Sep,2022-Oct,2022-Nov,2022-Dec,2023-Jan,2023-Feb,2023-Mar,2023-Apr,2023-May,2023-Jun,2023-Jul,2023-Aug,2023-Sep,2023-Oct,2023-Nov,2023-Dec,2024-Jan,2024-Feb,2024-Mar,2024-Apr,2024-May,2024-Jun,2024-Jul,2024-Aug,2024-Sep,2024-Oct,2024-Nov,2024-Dec,Total
LPG ONLY,449,319,324,309,135,183,166,179,270,319,370,287,371,342,347,329,450,551,447,516,531,524,495,330,368,440,397,346,419,395,406,498,503,655,490,285,13745
METHANOL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NOT APPLICABLE,1303,1426,2073,1606,901,1576,2024,1350,1767,1542,1344,1247,1129,1075,1344,1192,989,1295,1272,1246,944,1367,1075,1377,1113,1296,1054,880,944,1051,982,1140,1058,1438,1113,939,45472
PETROL,85957,82525,99747,109140,93224,100555,85243,98123,97303,125103,115424,82019,102016,91721,108897,94845,91946,106980,98099,106644,109068,111458,136167,94259,119841,108095,113214,108274,113597,107079,95478,115323,94106,141582,133733,76695,3753480
PETROL(E20),0,0,0,0,0,0,0,0,0,0,0,0,0,119,1386,1795,2197,2993,2996,3874,4012,4156,4838,3291,4507,4230,5005,3716,4115,4138,3493,4113,3288,5318,4243,2344,80167
PETROL(E20)/CNG,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0,2,0,2,0,1,0,1,0,0,1,2,2,1,0,0,1,0,18
PETROL(E20)/HYBRID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PETROL(E20)/HYBRID/CNG,3,0,0,1,2,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,0,0,1,0,0,1,0,1,2,0,0,1,0,0,0,16
PETROL(E20)/LPG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PETROL/CNG,1215,970,1458,1520,1088,1498,1112,1070,1555,1585,1649,1617,2045,1064,1602,1385,1736,1912,1862,2451,2061,2197,2274,1764,3397,2592,2983,2707,2970,2944,2277,3634,2285,3680,2917,1764,72840
PETROL/HYBRID,1377,1069,1035,715,1580,1449,971,1772,1855,2065,2185,2148,2571,3148,3810,2674,2205,2875,2368,2875,2443,2416,2476,2182,2837,2766,2481,2061,1909,1895,1458,2232,1453,2377,1514,1352,74599
PETROL/HYBRID/CNG,0,0,1,1,0,0,1,1,1,1,0,0,1,1,2,0,0,2,3,1,3,3,1,0,2,0,4,2,1,8,3,4,0,1,1,0,49
PETROL/LPG,135,97,143,86,80,102,70,58,84,106,76,52,82,88,101,38,18,7,3,1,3,1,2,2,2,3,0,2,0,0,2,1,0,0,1,0,1446
PETROL/METHANOL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PLUG-IN HYBRID EV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PURE EV,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,192,162,2010,2760,4721,5594,7410,11077,9945,6873,50746
SOLAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STRONG HYBRID EV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,344,376,429,501,528,1005,682,1017,713,693,6288
Total,110299,106528,130983,140661,117074,130383,113434,127619,129573,159431,152176,114052,139339,127606,154330,131590,136138,148336,137865,148514,150161,155377,182793,134576,168023,156452,172854,145385,155952,151450,138813,165630,136576,201738,182498,112650,5166859
