"Fuel and Month Wise Data for Kerala (2022-2024)"\n\nFuel,2022-Jan,2022-Feb,2022-Mar,2022-Apr,2022-May,2022-Jun,2022-Jul,2022-Aug,2022-Sep,2022-Oct,2022-Nov,2022-Dec,2023-Jan,2023-Feb,2023-Mar,2023-Apr,2023-May,2023-Jun,2023-Jul,2023-Aug,2023-Sep,2023-Oct,2023-Nov,2023-Dec,2024-Jan,2024-Feb,2024-Mar,2024-Apr,2024-May,2024-Jun,2024-Jul,2024-Aug,2024-Sep,2024-Oct,2024-Nov,2024-Dec,Total
PETROL(E20)/HYBRID/CNG,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,3
PETROL(E20)/LPG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
PETROL/CNG,638,548,651,543,339,346,308,275,384,334,294,308,362,296,496,212,317,363,384,409,539,412,376,397,464,424,384,483,503,488,603,622,710,647,634,582,16075
PETROL/HYBRID,675,639,541,518,1018,857,640,1580,1584,1406,1386,1488,1547,1619,2877,818,1380,1620,1636,1775,2154,2038,1610,1636,2192,1891,1981,2260,1955,1676,2063,1888,2215,2141,1584,1633,56521
PETROL/HYBRID/CNG,1,0,1,0,1,0,3,0,2,1,1,0,1,0,1,1,0,0,0,1,3,1,0,1,1,0,0,0,0,1,0,2,0,0,1,0,24
PETROL/LPG,5,6,5,5,3,5,4,2,1,3,1,2,5,3,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,52
PETROL/METHANOL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PLUG-IN HYBRID EV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
PURE EV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,63,782,1167,1929,2772,4472,3694,4327,3693,22921
SOLAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STRONG HYBRID EV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,22,96,116,210,366,431,622,656,612,495,3627
Total,67343,59597,71812,62243,59953,64880,56716,76501,77632,65560,60398,61594,65194,59532,81564,46836,61675,58271,56845,75568,78836,60544,57851,56650,68197,59192,63886,59271,62814,58613,63166,67779,87455,72165,61995,54850,2322978
