"Fuel and Month Wise Data for Maharashtra (2022-2024)"\n\nFuel,2022-Jan,2022-Feb,2022-Mar,2022-Apr,2022-May,2022-Jun,2022-Jul,2022-Aug,2022-Sep,2022-Oct,2022-Nov,2022-Dec,2023-Jan,2023-Feb,2023-Mar,2023-Apr,2023-May,2023-Jun,2023-Jul,2023-Aug,2023-Sep,2023-Oct,2023-Nov,2023-Dec,2024-Jan,2024-Feb,2024-Mar,2024-Apr,2024-May,2024-Jun,2024-Jul,2024-Aug,2024-Sep,2024-Oct,2024-Nov,2024-Dec,Total
FLEX-FUEL(ETHANOL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FUEL CELL HYDROGEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HCNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HYDROGEN(ICE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LNG,0,0,0,0,0,0,0,0,0,0,10,5,0,13,23,11,22,5,0,44,6,7,12,2,0,24,22,13,33,14,2,21,38,21,0,2,350
LPG ONLY,201,154,234,171,173,201,195,237,298,326,409,299,417,429,403,393,487,486,590,641,460,736,559,517,730,626,623,569,534,541,587,607,497,710,479,463,15982
METHANOL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NOT APPLICABLE,1458,1480,1495,1058,988,1110,1034,1094,1697,1703,1702,1279,1103,1132,1002,1149,1027,900,959,1127,1062,1318,967,1266,1133,1121,1125,1165,1044,782,802,832,934,1997,1361,1394,42800
PETROL,152074,124448,139203,144749,130767,125041,119742,128776,128635,198695,207729,139044,155113,132469,156990,133589,120069,124513,130277,135081,136608,166916,225848,169235,172523,142742,136171,173435,157142,131571,133622,132057,130183,246704,250568,157717,5490046
PETROL(E20),0,0,0,0,0,0,0,0,0,0,0,0,0,43,1269,1765,2007,2358,2630,3407,3666,4640,6259,4564,4815,4212,3938,5328,4622,4207,3936,4178,3833,8309,7580,4116,91682
PETROL(E20)/CNG,1,0,0,0,2,2,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,12
PETROL(E20)/HYBRID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PETROL(E20)/HYBRID/CNG,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,1,2,0,1,1,0,0,0,0,0,2,0,0,0,0,0,12
PETROL(E20)/LPG,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,7
PETROL/CNG,8273,8994,10593,8142,8829,9522,9527,10392,8177,12402,8773,7791,11558,6482,8747,8138,8781,10451,10700,12528,13698,14816,15304,9501,16323,11365,11711,15168,13918,11323,12939,13978,12786,25031,13087,10971,410719
PETROL/HYBRID,1564,1289,1201,1031,2401,1467,1304,1711,1684,3217,2676,2446,3361,2787,4292,2862,2623,2756,2432,2927,3388,3545,3281,2241,3528,3024,2685,2754,2246,1846,1926,2005,1769,3128,1469,1583,86449
PETROL/HYBRID/CNG,5,6,2,2,8,5,2,2,1,2,4,3,6,1,5,2,1,2,0,2,6,4,3,1,2,7,0,1,3,3,4,4,2,3,3,1,108
PETROL/LPG,90,58,61,51,79,86,76,57,69,76,43,65,62,67,80,48,37,37,22,20,26,40,22,21,53,31,37,18,27,30,29,52,47,67,46,33,1763
PETROL/METHANOL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PLUG-IN HYBRID EV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,3,3,0,12
PURE EV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154,355,1816,4070,8225,7406,11030,22694,17130,13957,86837
SOLAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STRONG HYBRID EV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,301,589,660,604,996,1156,991,1618,931,1088,8934
Total,197751,170445,197472,191743,177791,172883,167407,180511,181136,268281,269735,197831,223909,188777,226240,193908,186739,182209,185915,197057,199779,242640,305755,230126,255034,214225,220804,246795,225003,192684,206107,202288,197485,366004,332838,228058,7823365
