"Fuel and Month Wise Data for Kerala (2016-2018)"\n\nFuel,2016-Jan,2016-Feb,2016-Mar,2016-Apr,2016-May,2016-Jun,2016-Jul,2016-Aug,2016-Sep,2016-Oct,2016-Nov,2016-Dec,2017-Jan,2017-Feb,2017-Mar,2017-Apr,2017-May,2017-Jun,2017-Jul,2017-Aug,2017-Sep,2017-Oct,2017-Nov,2017-Dec,2018-Jan,2018-Feb,2018-Mar,2018-Apr,2018-May,2018-Jun,2018-Jul,2018-Aug,2018-Sep,2018-Oct,2018-Nov,2018-Dec,Total
METHANOL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NOT APPLICABLE,4,2,1,4,2,0,2,2,2,0,0,2,1,5,0,2,2,4,0,1,1,0,0,0,0,1,1,5,5,5,3,3,6,18,22,30,136
PETROL,69224,62670,64824,57741,60967,65480,64723,70888,88102,95232,70710,49218,70674,64229,76705,64283,74276,72943,66072,75914,97960,95256,73292,60557,88533,69825,76050,74377,82487,75885,73933,62345,104780,81990,67554,56946,2626645
PETROL(E20),0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4
PETROL(E20)/CNG,0,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,7
PETROL(E20)/HYBRID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PETROL(E20)/HYBRID/CNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
PETROL(E20)/LPG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
PETROL/CNG,106,75,94,90,97,113,121,128,162,117,142,98,156,106,136,129,113,128,127,156,167,144,100,95,200,97,124,150,212,250,333,242,399,407,446,434,6194
PETROL/HYBRID,0,0,0,0,5,1,0,0,1,1,1,2,1,1,1,2,0,2,0,1,1,1,0,0,3,1,2,3,3,2,2,2,6,22,29,43,139
PETROL/HYBRID/CNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PETROL/LPG,21,16,20,13,15,20,15,51,51,49,38,38,45,53,58,69,39,33,33,68,63,53,73,51,61,54,59,56,47,79,88,92,121,111,101,98,1952
PETROL/METHANOL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PLUG-IN HYBRID EV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PURE EV,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
SOLAR,0,0,1,1,0,0,2,0,0,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,10
STRONG HYBRID EV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total,81327,73085,76077,67790,71435,76479,75024,82955,99642,107161,80960,56700,81305,72857,87868,74009,84687,83677,75987,88285,110303,107515,85149,70102,102261,79499,87977,86167,94123,87179,86448,72194,117827,95401,79172,66729,3025356
